,content,uuid
264,Learning Canvas 2015,b01ed00caae544ab89d67c98e6cec819
265,Vocal Production Techniques,81aeae64a5d74ad2baac04a584c2d752
266,Exploring C Libraries,5ef53caed4a94049a346bae0addb1494
267,"C: Data Structures, Pointers, and File Systems",13516504c2e24ad5a04b50c7bb886dd8
268,Advanced Linux: The Linux Kernel (2016),2f0cb6733c6d428588f53a449f1cff9c
269,Python Network Programmability: Scaling Scripts,d32c959353ac4bc7a59c8386bcf1af53
270,Agile Foundations,819be373be0d45a2a7ae9f84af18da0a
272,Six Sigma Foundations,e379acd135db4ab5b8164e5b89273d1f
273,Lean Six Sigma: Define and Measure Tools,e9501464e055404a8fa706c4cac47e1a
274,"Lean Six Sigma: Analyze, Improve, and Control Tools",078767539d0f4bd8a985acb4aed3a455
275,"Everyday Statistics, with Eddie Davila",2e96e6f015024c9fbedce97fef7f85bd
279,Cisco ICND2 Cert Prep: Switching,ec1c91baece94815b2ce1863774bf7bb
280,Cisco ICND2 Cert Prep: Infrastructure Maintenance,b10f5fdc5d374570a773f81a4fdc47e8
283,Cisco ICND2 Cert Prep: Infrastructure Services,0319fb31077743439598f24e73299b61
284,Internet of Things with Python and Raspberry Pi,496b2cc1fc544d289043136f495ed41d
287,CISA Cert Prep: 5 Information Asset Protection for IS Auditors,1d11bb4d74c64faf89fe41cc86db6084
288,CompTIA Server+ (SK0-004) Cert Prep: 4 Security,0f702103731b47ba9100933f10c8f811
289,Cert Prep: SharePoint 2013 Microsoft Office Specialist (77-419),18c7d1d9658343459d2b5cb28df1fcfb
290,"Microsoft Certifications: Exams, Paths, Certifications, and Resources",5177fc4899d640c495a0b688a80978bf
291,Cert Prep: PowerPoint Associate - Microsoft Office Specialist for Office 2019 and Office 365,31c3ba32dbf246cbaf52a91d58ed56d2
292,Cisco Certifications: First Steps (2018),13f665cf96ea45339ed55f5b9fb6cfad
293,Delivery Tips for Speaking in Public,5c6b9bdaf14d41f6acb3c3e0173a4138
295,Becoming a Product Manager,aaecd3f97cf74c9291672ca6115c848b
296,Create a Go-To-Market Plan,03bc24f1a13a4aff9ac4328c95d6348b
298,Elasticsearch Essential Training,e0ddd088b9f1414ba42e2934b16e052f
299,GDPR Compliance: Essential Training,b5746f9e55b7472aa7381e32de7d96c7
301,Measure What Matters (Blinkist Summary),a9009dbb295b4b79b4b97b16af4f1311
302,Finding a Job,c8ecc0cb6dc64b54bbec85512e8dede2
304,Learning Information Governance,e03c51e0bf144b2abedcebbee13ffdab
305,Advanced C Programming,21f5eabe807d4e3c94dcb50368c134c8
306,Practical Linux for Network Engineers: Part 1,9e72129ccb04451f83f0549730271e56
307,Visual Studio 2019 Essential Training,6bb6d0ae66f94fbf94d958e16937d215
309,CompTIA Network+ (N10-007) Cert Prep: 6 Advanced IP Networking,b4620ee6b3814af89aa90ce6aa3a15fe
310,Test-Driven Development in C++,5f481ec4cb10493681c1646a35bfd59a
311,DevOps Foundations,97b90cf3c71e46d7a52f225fc74f9779
312,Wireshark: Malware and Forensics,1daa7ab89de744d484ded7540077f274
313,Ruby on Rails 5 Essential Training,503717f7f60e4ff18b8aa63fda516140
314,Linux: Bash Shell and Scripts,d8f9a67a9a3542d7a9bbbe6e3d84e7a5
315,Wireshark: Advanced Tools and Techniques,749ee28eafb943e4a3932b568eae005c
316,Technical Writing: Quick Start Guides,cbc82bb5140a40efbeec43754c7e7c1d
317,Git for System Administration,f394ecf51a1545f9bf8a8eb5b11740ea
319,Python Theory for Network Engineers,dd428f7e03804e41858207481df00874
320,Excel: You Can Do This,b6b5000d3fc748b8b82c55bfd92db829
323,Learning R,a333c18dcfb2428a8161f5ebe74b5ec3
325,Market Research Foundations,2f4f7b3d47d3420d8cabcb4664ec9983
326,Marketing Foundations,762f8fc0ce72420489dd73ba9355e4a8
327,Marketing Foundations: Competitive Market Analysis,525457bc5fd4470395163c15b73b16a8
328,"Business Analytics Foundations: Descriptive, Exploratory, and Explanatory Analytics",f52b458dcc704b5ca1cc6b8b728a94fd
330,Advanced SQL for Data Scientists,5e9fe7121ed443e4b59930b39b75f51a
331,Balancing Work and Life,9713aed3702b479fb390b40640e1cc6b
332,Making Quick Decisions,cb5570526fa9473893cd6d578e95b9e3
333,Project Management Foundations: Communication,b7ed5ebfd50343f2878a9d12d2dae0c8
335,Developing Your Leadership Philosophy,d21791f443554f60b0fa8b23e136e027
338,Photoshop: Adding Style to a Studio Portrait,f24b30e2be384c58aef7786b1f34bf78
339,Spring: Framework In Depth,07831eb6b4d2466fb3998a63deab3875
340,DevOps Foundations: Your First Project,a9c6e47723aa4cfe86d8fff20766d748
342,pandas Essential Training,eb6112bebd31426ab3177ef19e551542
343,Finance and Accounting Tips,f76d373fd3f34899b20c57546222880e
344,Building a Recommendation System with Python Machine Learning & AI,13daa66d77f9442aa265a55dfde578e6
346,Learning Scratch,5c8708c0de694cac8027654fc63eb0fa
348,Network Automation Quick Start,eb81fb96f4b24a64a154a4b8e6e7f90a
349,Succeeding in DevOps,eade52fe18b7408cb8314d59ecdcc63e
350,Mastering Common Interview Questions,d4aa13c34c2346cdb888f66d397fdf46
351,Getting into the Mind of the Hiring Manager,22f3fe469d2c4076ba4431b1f3e7b93b
352,Resume Makeover,c18e0dd7ad944bba938cc8c0dc1e95c4
354,Java 11+ Essential Training,ef21507943a647e8b09a75dc28dc5a61
356,Learning Java Lambda Expressions,71a3dc0718cc46c0b5008f01e9161b90
357,Java Memory Management,371d111755b84294bc174fab10ff0a01
358,Learning Java (2018),d33c3087db28422999628ff57e3deb72
359,Code Clinic: Java,a2ddc03fc8bf4784a801df7435638139
360,Java Essential Training: Objects and APIs,3e74a60f9f044d2791004e6b86ca6bb8
361,Advanced Java Programming,cc417f590e774096970c3546acaa49c3
362,Java Design Patterns: Creational,9df20375e04148feb5c1eeb3108465d9
364,Learning Java 8,6ea489d463e14971a0c70cd1df73e443
365,Learning Java by Example,2170e7cefb2e4dd2bb4c3ba401e1aae2
366,Supply Chain and Operations Careers: Certification Tips and Tricks,5b62f3a8dea5480b8df3d78454b27b12
367,Preparing for the GMAT,03ee2d64e45b4b659c962ea372a043c8
368,Building a Website with Node.js and Express.js,9bd65b3d00994cf3850daa890c71622c
369,Building Serverless Apps with JAMStack and Eleventy,62f4fadb60b24f7e9356257e3724c044
370,Technical Writing: Reports,3f229856ae6e46179dbeff56aa8caa6a
371,Tech Soft Skills: Effective Technical Communication,3f1f8c334ff14cf4a703df686cc565ab
372,Strategic Focus for Managers,1b9cde59f3844b20a16b41d56dd68629
373,Learning Cloud Computing: Serverless Computing,efe4fd1513d2462181973377794f7f85
374,Writing a Resume,b8dd19fe47c54fcfab525a08bafa036e
375,Introduction to Microsoft 365 for IT Pros,4b76c04bcd284f69911123ca9247ff67
376,Spotting Logo Trends,a82e837a115c446faba5c14faf9d3539
377,Quality Standards in Customer Service,307a245e36d94da1b9b2fcb3efe66f80
378,Online Marketing Foundations,0111f9ef340f41dcaa202d92b2043d39
379,Fred Kofman on Making Commitments,50d490bf1da2488cb246fd99d723eb0e
380,Design Thinking: Customer Experience,6ac9633d01724097bc56b50d08f73c63
381,Financial Accounting Foundations,b50232c5e53343eab649c7ddbdc7d7e1
382,Balancing Multiple Roles as a Leader,6478f382d15c4a968fd6695a6208ed53
383,Job Seeker Tips,12dd59d7fd024b6c82d5b9d2ddf949e0
385,Microsoft Project 2019 and Project Online Desktop Essential Training,2f1fb2d064a6402887508ccc3c527bb4
386,Managing Resource-Constrained Projects with Microsoft Project,8f6be37d9d9d4370825075688dec6e8e
388,Building Resilience,6b9eba55347b49579498edfb7693332d
389,Leading Projects,79b4bddf5743435cba6d3de525e5513c
390,Developing Business Acumen,dafb63315daa49b08da3190f18d9b8c6
391,Inventory Management Foundations,b11b61e1e4214b74aad001eb82224f25
393,Job Skills: Supply Chain and Operations,6a2452fa6ac8478ab40f248c0ae711a6
395,Finance for Non-Financial Managers,3ee9acb2bd8646bda5641810cfa2127b
396,Agile Project Management with Microsoft Project,62b90f73e9c047c0b934ed170b2fada4
397,Six Sigma: Green Belt,484ef0413434423490e6b39d703ec10c
398,Careers in Supply Chain and Operations,8a705dfb30ad4031b792e4a49e7aaa81
399,Coaching and Developing Employees,a3e557d9f79b47ee8b29415b9b2055f0
401,Learning Ubuntu Server,b09ef16f4aa64f9794b3e75d9fbb887b
402,"CISA Cert Prep: 4 IT Operations, Maintenance, and Service Delivery for IS Auditors",da6457e10975413a90fb57979d0e8e4d
403,Advanced Web Development with Django,1a9928b130044127a82834ac0baaee3a
404,CISA Cert Prep: 2 Information Technology Governance and Management for IS Auditors,ea8c92995e7a468480ce8a0f4af087b8
405,CISA Cert Prep: 3 Information Technology Life Cycle for IS Auditors,addcad97e7394c4aa15a587419c4a761
406,Learning Selenium,699c1559c88d4f03a0c7d6519e15cd03
407,Learning Django (2018),64a14aed56cb469f95a93ec38704cf76
408,Python for Data Science Essential Training Part 1,a4d81e881683412d8dccc4eefbb9fa9c
409,Introduction to AWS DeepLens,a112bc8409654bf69cd96464dd79add3
410,Blockchain Basics,0e790afe3ee7486db5de79a4bf9632f9
411,Data Ingestion with Python,2c1ee55a76fd48acb405895f41f7dca7
412,CISA Cert Prep: 1 Auditing Information Systems for IS Auditors,083aa7b346544aaf9ad4478098a855ad
413,CISA Cert Prep: The Basics,1ebbb6c400244fb0bf5be3d385c82738
414,CCNA (200-301) Cert Prep: Network Fundamentals and Access,737e2dcd6e1549a58ecf2ebfd1572a13
415,Building a Personal Portfolio with Django,614c1f37afc0430880703d39abf90315
416,Blockchain: Beyond the Basics,72309a034dc84a4ab0bdee28712a422b
417,NLP with Python for Machine Learning Essential Training,82496343470b45f78075edc73a1a056d
418,The Six Morning Habits of High Performers,1f8ea35661264996b252b13c4f498472
419,Excel Data Visualization: Mastering 20+ Charts and Graphs,4d832a1796484bc298046348062e58de
421,Project Management Tips,affb95c01aca4d9c833d15a22e6a1a89
423,Wireshark Essential Training,4262ac310a024d64810b43076ca9d38c
424,Wireshark: Packet Loss and Recovery,a39dcaf6f2fe4d20a6e3dfc89a356b2c
426,Troubleshooting Your Network with Wireshark,5d3b60fcd1f14b0791fe15396ac0822c
427,CISM Cert Prep: 2 Information Risk Management,9c507a949cd1490d864ff6bf1f993b64
428,Excel: Power Pivot for Beginners,317e7ce68c384cab8cd081e8ca99f25a
429,Networking Foundations: Network Media (LANs),b72f47f0862b445eb2d10f4d943c6103
430,Corporate Finance Foundations,f882aaf0827d49588904802c7b86bed5
432,Behavioral Finance Foundations,edf125fdc7414dad9cd79e77c5d6064e
433,Photo Gear Weekly,7e2f22aae079480e96ddf8a97811ff70
434,Finance Foundations: Business Valuation,5ff2e6e0d33440b9bbd996afcd4ff216
435,Running a Profitable Business: Calculating Breakeven,82c45fc34a8e4fe993bf9fb2fb39081c
436,Running a Profitable Business: Understanding Financial Ratios,3771ff74a6284b04a0cd719b285f4929
438,CompTIA Network+ (N10-007) Cert Prep: 1 Understanding Networks,c113f930b3b740e4bb970c1b187817f1
439,CompTIA Network+ (N10-007) Cert Prep: 2 The Physical Network,1d5dc468c5c648088ea7c17c31e304ad
441,Algorithmic Trading and Stocks Essential Training,ded09e559b794b87ab3eca40d922f43a
