,content,uuid
196,CPS Learning Forum: Supply Chain Organization Awareness,eb77102b75a74ea6be8baca2d9edcc2e
197,NPI: Cisco Tetration - 2.3.1.x - Euclid E Release - INSBU,7b149df34be34e35be7e2e06955b1cf6
198,NPI: Tetration Post-FCS Troubleshooting Training - INSBU,21062ecc0f534d32a7d931b4b1a4ea1d
200,Building Cloud Native Apps,27859b69ac3949cd933fae3d9656f010
201,NPI: CBR8 Polaris 16.9.1 / RPD v5.1 - CABU,deaf19b52cf44ac7805bf24010d95d79
202,Compliance: Prevention of Sexual Harassment India Training - FY19,f4d91646694d4fc895a705890c7f665b
203,Selling Value in the Digital Age,8e80096d698c4d04b931da003939d586
204,Cisco Cat 9K Overview,9456d01ea0e0461c893da2221a4bfe89
205,ENG: The Network. Intuitive. Training,bb620dcb7b3c483bb2ab9a3e5dbd1765
206,Global Services Trade Compliance Training,bcba3f1e8bbb442ba2ce2a5c95793556
207,Innovation in Core Overview,a6a8b75623154b86bbc7e7ccdc9d8a1e
208,Module 5a - Technical Support and Adoption Services,417395118e224cd1a9ff9545fa90c9e7
210,NPI: AireOS - 8.7 - Wente,0fd7f9a257944e8d8a9d82525f3e4b2a
216,Nexus 5K/2K Training Portal,431c6260327d4f8db2f74c09d0fc414a
217,Nexus 7K Training Portal,27711abf13ac42e28545259caaba6463
220,Leader Learning Lab - Challenging Conversations,fe66961eaea04824a5a42b42ac4b3ac5
226,ACI L2,3edd0e830b5d431f89b28d87c0906482
227,ACI Training Portal,b8b3a49ae8f94064902fa94dac6e7f38
228,Introduction to Agile for Transaction and Subscription Projects,dac236c8e25f4a0eb847f11867853ec2
230,Compliance: 2018 Data Privacy and Security Annual Review Course,874c0c3d612f46a3b2ad9cefcf0df33b
232,P-Card (Procurement Card),eafd54a298a7442ab929055d4e31f848
235,Agile SAFe,97712f6a35fe4934854a547f3b17a1e4
236,Business Critical Services - Business Critical Demos,b29b3917f4024951943dbbad5350f1e9
243,PgM LeapFrog Leadership Development Initiative - Cohort 10,353a8d19c3be4efc96f2471b54aeacc4
